BROKERTITLE,TYPE,PRICE,BEDS,BATH,PROPERTYSQFT,STATE,MAIN_ADDRESS,ADMINISTRATIVE_AREA_LEVEL_2,LOCALITY,SUBLOCALITY,LATITUDE,LONGITUDE
Brokered by Sotheby's International Realty - Downtown Manhattan,Co-op,2950000,2,2,2184.207862,New York,"20 Bond St Apt 2New York, NY 10012",New York,New York County,New York,40.7267495,-73.9938034
Brokered by COMPASS,Co-op,899000,2,1,2184.207862,Manhattan,"345 W 55th St Apt 6BManhattan, NY 10019",New York,New York County,New York,40.7661581,-73.985324
Brokered by Home Sweet Homes Real Prop Inc,House,850000,4,2,2184.207862,Fresh Meadows,"49-12 167th StFresh Meadows, NY 11365",United States,New York,Queens County,40.7485831,-73.8010787
Brokered by Coldwell Banker American Homes,Multi-family home,670000,3,2,2184.207862,Brooklyn,"5514 Tilden AveBrooklyn, NY 11203",United States,New York,Kings County,40.6482878,-73.9246615
Brokered by Douglas Elliman - 3544 Johnson Ave,House,968000,4,2,2550.0,Bronx,"1705 Hone AveBronx, NY 10461",United States,New York,Bronx County,40.8475868,-73.853875
Brokered by Signature Premier Properties,Co-op,320000,2,2,1200.0,Bronx,"3121 Middletown Rd Apt 2KBronx, NY 10461",New York,Bronx County,The Bronx,40.8455961,-73.8264218
Brokered by EXP Realty,Co-op,228888,1,1,900.0,Briarwood,"85-15 Main St Unit 7ABriarwood, NY 11435",New York,Queens County,Queens,40.7097347,-73.8188287
Brokered by Keller Williams Realty Liberty,Co-op,199888,2,1,2184.207862,Howard Beach,"151-25 88 St Unit 4EHoward Beach, NY 11414",New York,Queens County,Queens,40.667401,-73.8470063
Brokered by Serhant,Co-op,5995000,4,4,2184.207862,New York,"110 Franklin St Unit 1New York, NY 10013",New York,New York County,New York,40.7187102,-74.005987
Brokered by CENTURY 21 Kafcos Realty,Multi-family home,1430000,6,4,2840.0,Bronx,"242 Balcom AveBronx, NY 10465",United States,New York,Bronx County,40.8152387,-73.8219875
Brokered by United Realty Associates,Multi-family home,1350888,4,3,2184.207862,Middle Village,"61-26 69th LnMiddle Village, NY 11379",United States,New York,Queens County,40.7197495,-73.888525
Brokered by TRACEY REAL ESTATE,Co-op,699000,2,1,1100.0,Brooklyn,"125 Ocean Ave Apt 1JBrooklyn, NY 11225",New York,Kings County,Brooklyn,40.6599761,-73.9622977
