BROKERTITLE,TYPE,PRICE,BEDS,BATH,PROPERTYSQFT,STATE,MAIN_ADDRESS,ADMINISTRATIVE_AREA_LEVEL_2,LOCALITY,SUBLOCALITY,LATITUDE,LONGITUDE
Brokered by MARASA REALTY INC,Pending,825000,5,2,2184.207862,Staten Island,"170 Amsterdam AveStaten Island, NY 10314",United States,New York,Richmond County,40.6033161,-74.1679729
Brokered by Corcoran Bedford Stuyvesant,Condo,745000,2,2,2184.207862,Brooklyn,"508A Lexington Ave # 3Brooklyn, NY 11221",New York,Kings County,Brooklyn,40.6886854,-73.9402301
Brokered by Kestin Alice N,Co-op,440000,2,1,2184.207862,Jackson Heights,"35-38 75th St Unit 3GJackson Heights, NY 11372",New York,Queens County,Queens,40.7499534,-73.8912443
Brokered by Coldwell Banker Warburg,Condo,7750000,3,4,2855.0,New York,"279 Central Park W Units 3 & 4BNew York, NY 10024",United States,New York,New York County,40.7868701,-73.9686086
Brokered by JM Properties,Land,399900,3,2,2184.207862,Staten Island,"409 Slater BlvdStaten Island, NY 10305",United States,New York,Richmond County,40.5771876,-74.0829699
Brokered by COMPASS,Condo,990000,1,1,791.0,Manhattan,"240 Riverside Blvd Apt 14NManhattan, NY 10069",New York,New York County,New York,40.7804721,-73.9871434
Brokered by Best Solutions Realty Inc,Multi-family home,1150000,4,3,2184.207862,East Elmhurst,"32-40 87th StEast Elmhurst, NY 11369",United States,New York,Queens County,40.7569734,-73.8811062
Brokered by COMPASS,Condo,2300000,1,2,1100.0,Manhattan,"900 Park Ave Apt 16CManhattan, NY 10075",New York,New York County,New York,40.7761296,-73.960619
"Brokered by Nest Seekers International, Midtown",Pending,4999000,3,2,2160.0,New York,"36 Gramercy Park E Apt 5NNew York, NY 10003",New York,New York County,New York,40.7375223,-73.9849542
Brokered by Keller Williams NYC,Condo,350000,1,1,738.0,Staten Island,"11 Windham Loop Apt 2GGStaten Island, NY 10314",New York,Richmond County,Staten Island,40.5781826,-74.1626869
Brokered by William Raveis Real Estate - Rye,Multi-family home,1900000,5,4,3640.0,New York,"311 W 138th StNew York, NY 10030",United States,New York,New York County,40.8188422,-73.9456834
Brokered by E Realty International Corp,Multi-family home,2498000,6,6,3184.0,Bayside,"40-20 217th StBayside, NY 11361",United States,New York,Queens County,40.7644884,-73.7660572
Brokered by Brown Harris Stevens - 1926 Broadway,Co-op,3500000,3,2,2184.207862,Manhattan,"101 W 12th St Apt 11RManhattan, NY 10011",New York,New York County,New York,40.7361563,-73.9977295
Brokered by KELLER WILLIAMS REALTY EMPIRE,Pending,995000,5,2,2128.0,Brooklyn,"203 Sterling StBrooklyn, NY 11225",United States,New York,Kings County,40.6631136,-73.9544199
Brokered by HomeLister,Contingent,193999,3,1,435.0,Staten Island,"16 Bay Ter Apt 2EStaten Island, NY 10306",New York,Richmond County,Staten Island,40.5559755,-74.1387681
"Brokered by Naomi Klein, Realtor",Co-op,245000,3,1,713.0,Forest Hills,"61-20 Grand Central Pkwy Unit B609Forest Hills, NY 11375",United States,New York,Queens County,40.7379227,-73.8470718
Brokered by COMPASS,Condo,8495000,3,4,4781.0,Manhattan,"45 Walker St Apt 2Manhattan, NY 10013",New York,New York County,New York,40.7189873,-74.0038646
Brokered by Serhant,Condo,12500000,4,4,2938.0,New York,"71 Reade St # ANew York, NY 10007",United States,New York,New York County,40.714922,-74.0070262
Brokered by Winzone Realty Inc,House,849000,3,3,2184.207862,Brooklyn,"2762 Cropsey AveBrooklyn, NY 11214",11214,United States,New York,40.5868122,-73.9890289
"Brokered by Nest Seekers International, Midtown",Condo,500000,1,2,2184.207862,Brooklyn,"410 Fenimore StBrooklyn, NY 11225",United States,New York,Kings County,40.6586064,-73.9488175
Brokered by COMPASS,Condo,1895000,3,2,1929.0,Manhattan,"416 W 52nd St Apt 312Manhattan, NY 10019",New York,New York County,New York,40.7647904,-73.9890812
Brokered by BERGEN BASIN REALTY,Co-op,189900,1,1,600.0,New York,"2265 Ocean Pkwy Apt 1FNew York, NY 11223",New York,Kings County,Brooklyn,40.5941381,-73.963948
Brokered by Sotheby's International Realty - East Side Manhattan Brokerage,Co-op,5500000,3,4,2184.207862,New York,"40 E 88th St Ph 14ENew York, NY 10128",New York,New York County,New York,40.7819874,-73.9578067
Brokered by Sotheby's International Realty - East Side Manhattan Brokerage,Condo,10850000,4,2,4372.0,New York,"555 W End AveNew York, NY 10024",United States,New York,New York County,40.7895088,-73.9778147
Brokered by Keller Williams Realty Group,Multi-family home,999000,5,4,1980.0,Bronx,"503 Hollywood AveBronx, NY 10465",United States,New York,Bronx County,40.8232894,-73.8169443
Brokered by Corcoran Park Avenue South,Condo,2195000,3,2,1708.0,New York,"500 Park Ave # 16DNew York, NY 10022",New York,New York County,New York,40.7629604,-73.9705452
"Brokered by BEN BAY REALTY, CO.",Multi-family home,1260000,7,2,2000.0,Brooklyn,"1677 Bay Ridge AveBrooklyn, NY 11204",United States,New York,Kings County,40.6186892,-73.9952499
Brokered by Brown Harris Stevens,Co-op,675000,1,1,2184.207862,Manhattan,"160 Ninth Ave Unit 1RManhattan, NY 10011",New York,New York County,New York,40.7443659,-74.0025913
Brokered by Brown Harris Stevens,Pending,225000,2,1,600.0,Manhattan,"535 W 163rd St Apt 3Manhattan, NY 10032",New York,New York County,New York,40.8375103,-73.9407123
Brokered by Nyc Realty Brokers Llc,Co-op,229000,1,1,650.0,Brooklyn,"402 Bay Ridge Pkwy Apt 68Brooklyn, NY 11209",New York,Kings County,Brooklyn,40.6308291,-74.0250165
"Brokered by Robert Defalco Realty, Inc.",Multi-family home,1275000,6,5,2500.0,Staten Island,"595 Sinclair AveStaten Island, NY 10312",United States,New York,Richmond County,40.5423923,-74.1955899
Brokered by Douglas Elliman - 140 Franklin,Condo,5495000,5,4,4014.0,New York,"270 Broadway Apt 19DNew York, NY 10007",New York,New York County,New York,40.7141198,-74.0066281
Brokered by R New York,Co-op,850000,2,2,2184.207862,Brooklyn,"235 Adams St Apt 4DBrooklyn, NY 11201",New York,Kings County,Brooklyn,40.6965776,-73.9883987
Brokered by Jonarbri Realty,House,450000,4,3,2184.207862,Bronx,"661 E 228th StBronx, NY 10466",United States,New York,Bronx County,40.8904909,-73.8606171
Brokered by PEERLESS PROPERTIES CORP.,Multi-family home,950000,3,2,2184.207862,East Elmhurst,"22-36 92nd StEast Elmhurst, NY 11369",United States,New York,Queens County,40.7689418,-73.8785452
Brokered by Unlimited Homes Realty Inc,House,730000,4,3,1648.0,Saint Albans,"191-20 113th RdSaint Albans, NY 11412",United States,New York,Queens County,40.6987,-73.761794
Brokered by Promise Realty LLC,Condo,830000,2,2,2184.207862,Bayside,"213-02 42nd Ave Unit 7EBayside, NY 11361",New York,Queens County,Queens,40.7624173,-73.7710902
Brokered by Park Assets Real Estate Corp,House,829000,5,4,2184.207862,Jamaica,"110-35 166th StJamaica, NY 11433",United States,New York,Queens County,40.6935674,-73.7855565
Brokered by Avenues - Headquarters,Condo,555000,3,1,2184.207862,New York,"186 W 80th St Apt 3ENew York, NY 10024",New York,New York County,New York,40.7835114,-73.9776775
Brokered by Andron Realty Group Tulip R E,House,888000,4,2,2184.207862,Floral Park,"84-49 264th StFloral Park, NY 11001",United States,New York,Queens County,40.7367436,-73.7039037
Brokered by Sovereign Realty Of Ny Inc,Multi-family home,1149000,6,3,2600.0,Rockaway Park,"228 Beach 125th StRockaway Park, NY 11694",United States,New York,Queens County,40.5781241,-73.8449946
Brokered by RE MAX Edge,Pending,648000,3,2,2112.0,Staten Island,"157 N Pine TerStaten Island, NY 10312",United States,New York,Richmond County,40.5395578,-74.1795806
Brokered by Precious Properties Corp.,Condo,499000,2,1,825.0,Brooklyn,"9201 Shore Rd Apt A302Brooklyn, NY 11209",New York,Kings County,Brooklyn,40.620502,-74.0396973
Brokered by Sky Port Homes Llc,Condo,450000,2,1,1249.0,Arverne,"113 Beach 60th St Unit 95Arverne, NY 11692",New York,Queens County,Queens,40.5894946,-73.7896353
Brokered by Keller Williams Legendary,Multi-family home,3900000,6,3,2184.207862,Springfield Gardens,"183-07 145th DrSpringfield Gardens, NY 11413",United States,New York,Queens County,40.6632412,-73.7625294
Brokered by Ashford Homes,House,558000,3,2,1108.0,Staten Island,"3811 Hylan BlvdStaten Island, NY 10308",United States,New York,Richmond County,40.5463363,-74.1420026
Brokered by EXP Realty,Multi-family home,1695000,4,2,2184.207862,Brooklyn,"304 3rd AveBrooklyn, NY 11215",United States,New York,Kings County,40.6768411,-73.9867935
Brokered by Corcoran Brooklyn Heights,House,725000,5,2,2184.207862,Queens,"138-48 229th StQueens, NY 11413",United States,New York,Queens County,40.6702491,-73.7454183
Brokered by COMPASS,Co-op,940000,3,2,2184.207862,Queens,"33-39 80th St Unit 1Queens, NY 11372",New York,Queens County,Queens,40.7553599,-73.88722
Brokered by RE MAX Real Estate Professionals,Condo,539000,2,2,821.0,Brooklyn,"1495 E 28th St Apt 3ABrooklyn, NY 11229",New York,Kings County,Brooklyn,40.6145816,-73.9463149
Brokered by BESMATCH REAL ESTATE,Co-op,99000,1,1,859.0,Bronx,"1185 Anderson Ave Apt 1CBronx, NY 10452",New York,Bronx County,The Bronx,40.8366623,-73.9239586
Brokered by BHHS New York Properties,Pending,895000,2,2,1111.0,New York,"343 E 74th St Apt 20BNew York, NY 10021",New York,New York County,New York,40.7696861,-73.9557104
Brokered by COMPASS,Co-op,995000,3,2,1300.0,Manhattan,"23 E 79th St Unit GManhattan, NY 10075",New York,New York County,New York,40.776763,-73.9625093
Brokered by Awaye Realty,Condo,2550000,3,2,2400.0,Brooklyn,"145 Huntington St Unit 147-1Brooklyn, NY 11231",New York,Kings County,Brooklyn,40.6763366,-74.0001966
Brokered by RE MAX Elite,Co-op,345000,2,1,1000.0,Brooklyn,"2483 W 16th St Apt 14DBrooklyn, NY 11214",United States,New York,Kings County,40.5871907,-73.9840965
Brokered by RE/MAX Elite,House,879000,4,2,2240.0,Staten Island,"120 8th StStaten Island, NY 10306",United States,New York,Richmond County,40.5708089,-74.1179169
Brokered by Corcoran West Side,Co-op,945000,2,1,2184.207862,New York,"250 W 75th St Apt 4CNew York, NY 10023",New York,New York County,New York,40.7813792,-73.9824979
Brokered by BERKSHIRE HATHAWAY,House,939999,3,2,3096.0,Queens Village,"222-11 100th RdQueens Village, NY 11429",United States,New York,Queens County,40.7146332,-73.7305803
Brokered by COMPASS,Co-op,500000,3,2,1200.0,Queens,"98-20 62nd Dr Unit 6JQueens, NY 11374",United States,New York,Queens County,40.7329909,-73.8586242
Brokered by Douglas Elliman - 1995 Broadway,Co-op,475000,1,1,2184.207862,New York,"44 W 96th St Apt 5ANew York, NY 10025",New York,New York County,New York,40.7920657,-73.9663587
Brokered by Cana Realty,House,1288000,3,4,2184.207862,East Elmhurst,"21-26 81st StEast Elmhurst, NY 11370",United States,New York,Queens County,40.7701118,-73.8892017
Brokered by Daniel Gale Sotheby's International Realty,Townhouse,1238000,3,2,1500.0,Forest Hills,"110-39 62nd DrForest Hills, NY 11375",United States,New York,Queens County,40.7367847,-73.8477757
Brokered by REAL NEW YORK - Remote Brooklyn,Co-op,1450000,2,2,2184.207862,New York,"17 W 64th St Apt 7ANew York, NY 10023",New York,New York County,New York,40.7717467,-73.9805466
Brokered by Venezia Realty Group LLC,Co-op,370000,2,1,800.0,Brooklyn,"1065 Shore Pkwy Unit 2BBrooklyn, NY 11228",New York,Kings County,Brooklyn,40.6033288,-74.0160805
Brokered by COMPASS,Condo,595000,1,1,574.0,Manhattan,"26 W 127th St Unit GardenManhattan, NY 10027",United States,New York,New York County,40.8080535,-73.9426066
Brokered by Hometown Properties,Condo,2799000,3,3,2350.0,Brooklyn,"105 15th St Unit PhBrooklyn, NY 11215",United States,New York,Kings County,40.6676042,-73.9931265
Brokered by Pride Estates,Co-op,289000,1,1,520.0,Brooklyn,"7401 Shore Rd Apt 2LBrooklyn, NY 11209",New York,Kings County,Brooklyn,40.6339937,-74.0363466
Brokered by Douglas Elliman - 140 Franklin,Co-op,595000,1,1,2184.207862,New York,"317 E 3rd St Apt 4New York, NY 10009",New York,New York County,New York,40.7211983,-73.9787559
Brokered by Realty Connect Usa L I Inc,Pending,669000,3,1,1080.0,Little Neck,"42-39 248th StLittle Neck, NY 11363",United States,New York,Queens County,40.7696159,-73.7403605
Brokered by COMPASS,Townhouse,13995000,5,2,6815.0,Manhattan,"137 W 77th StManhattan, NY 10024",United States,New York,New York County,40.7813836,-73.9776937
Brokered by NEXT - NextStopNY,Co-op,2095000,4,4,2184.207862,New York,"345 E 56th St Ph CNew York, NY 10022",United States,New York,New York County,40.7579677,-73.9636757
Brokered by Beaudoin Realty Group Inc,Co-op,585000,3,1,1050.0,Jackson Heights,"35-31 85th St Unit 8JJackson Heights, NY 11372",United States,New York,Queens County,40.7512505,-73.8814433
Brokered by EXIT REALTY TOP PROPERTIES,House,699000,3,2,1538.0,New York,"38 Jones StNew York, NY 10314",United States,New York,Richmond County,40.6059609,-74.1644799
"Brokered by Homes R Us Realty of NY, Inc.",Condo,340000,1,1,850.0,Brooklyn,"2925 W 5th St Apt 12HBrooklyn, NY 11224",New York,Kings County,Brooklyn,40.5777691,-73.9719866
Brokered by Brown Harris Stevens,Condo,15500000,5,5,4193.0,Manhattan,"1045 Madison Ave Apt 11Manhattan, NY 10075",New York,New York County,New York,40.7766637,-73.9615947
Brokered by Nyc Realty Brokers Llc,Co-op,199999,1,1,550.0,Brooklyn,"1717 E 18th St Apt 5GBrooklyn, NY 11229",New York,Kings County,Brooklyn,40.6079619,-73.9549426
Brokered by Douglas Elliman - 2112 Frederick Douglass Blvd,Pending,2495000,5,4,4230.0,New York,"217 W 122nd StNew York, NY 10027",United States,New York,New York County,40.807581,-73.9505281
Brokered by Douglas Elliman - 156 Montague,Co-op,799000,2,2,1043.0,Brooklyn,"175 Adams St Apt 3GBrooklyn, NY 11201",New York,Kings County,Brooklyn,40.6985714,-73.9881911
Brokered by Red Door Realty Group,House,888888,4,3,2088.0,Staten Island,"20 Greencroft LnStaten Island, NY 10308",United States,New York,Richmond County,40.5469948,-74.1413764
Brokered by ES Realty Eva Shammah LLC,House,1690000,3,2,1536.0,Brooklyn,"1914 E 26th StBrooklyn, NY 11229",United States,New York,Kings County,40.6042182,-73.946797
"Brokered by Nest Seekers International, Midtown",Condo,8950000,2,2,2270.0,New York,"212 W 18th St Apt 19CNew York, NY 10011",New York,New York County,New York,40.7412267,-73.9987741
Brokered by Rise Realty,House,1449000,3,4,3600.0,Staten Island,"61 Cypress AveStaten Island, NY 10301",United States,New York,Richmond County,40.613153,-74.1076394
Brokered by Corcoran East Side,Condo,1295000,2,2,1160.0,New York,"1641 Third Ave Apt 3HNew York, NY 10128",New York,New York County,New York,40.7822235,-73.9509367
Brokered by Brown Harris Stevens,Co-op,599000,1,1,800.0,Manhattan,"568 Grand St Apt J102Manhattan, NY 10002",New York,New York County,New York,40.7142822,-73.9792183
Brokered by Ben Bay Realty Company of Staten Island LLC,House,628000,3,2,960.0,Staten Island,"268 Cromwell AveStaten Island, NY 10305",United States,New York,Richmond County,40.5883038,-74.0928759
Brokered by Wonica REALTORS & Appraisers,Condo,593000,2,2,1312.0,Staten Island,"31 Hylan Blvd Apt 2BStaten Island, NY 10305",New York,Richmond County,Staten Island,40.6151849,-74.0646359
Brokered by EXIT REALTY FIRST CHOICE,House,634900,2,2,2184.207862,Queens Village,"99-27 Francis Lewis BlvdQueens Village, NY 11429",United States,New York,Queens County,40.7123648,-73.7530514
Brokered by Pyramid Home Realty Corp.,Condo,499900,2,2,960.0,Staten Island,"491 Midland AveStaten Island, NY 10306",United States,New York,Richmond County,40.5741868,-74.0960192
Brokered by Elegran Real Estate And Development,Condo,540000,3,1,509.0,New York,"150 E 37th St Apt 4BNew York, NY 10016",New York,New York County,New York,40.7478487,-73.9775903
Brokered by Winzone Realty Inc,House,1950000,3,2,2184.207862,Jamaica,"180-11 Tudor RdJamaica, NY 11432",United States,New York,Queens County,40.721482,-73.7883218
Brokered by East Coast Realty Partners,Co-op,379000,2,1,2184.207862,Rego Park,"64-00 Saunders St Unit 6ERego Park, NY 11374",New York,Queens County,Queens,40.7286188,-73.8616623
Brokered by Douglas Elliman - Bayside,Co-op,299000,1,1,800.0,Elmhurst,"92-30 56th Ave Unit 3GElmhurst, NY 11373",New York,Queens County,Queens,40.7365158,-73.8687964
Brokered by BRAITHWAITE REALTY LLC,Multi-family home,850000,6,3,2230.0,Bronx,"3019 Kingsbridge TerBronx, NY 10463",United States,New York,Bronx County,40.8760983,-73.9021193
"Brokered by CITI - Citi Habitats, Inc. - NY",Pending,199999,9,3,2184.207862,Brooklyn,"429 Pennsylvania AveBrooklyn, NY 11207",United States,New York,Kings County,40.666792,-73.894205
Brokered by Higgins Realty Group Llc,Multi-family home,899000,4,3,1892.0,Brooklyn,"1139 E 86th StBrooklyn, NY 11236",United States,New York,Kings County,40.6344613,-73.9042326
Brokered by KELLER WILLIAMS REALTY EMPIRE,Multi-family home,1299000,10,6,4500.0,Brooklyn,"247 Senator StBrooklyn, NY 11220",United States,New York,Kings County,40.6378136,-74.0266176
Brokered by Keystone Realty USA Corp,House,699000,3,3,2184.207862,Bronx,"448 Turneur AveBronx, NY 10473",United States,New York,Bronx County,40.8163884,-73.8461253
Brokered by E Realty International Corp,Condo,579000,2,2,750.0,Flushing,"140-31 Cherry Ave Unit 9AFlushing, NY 11355",New York,Queens County,Queens,40.75467,-73.821996
Brokered by RE MAX Elite,House,585000,3,2,1008.0,Staten Island,"94 Walker StStaten Island, NY 10302",United States,New York,Richmond County,40.6302304,-74.142966
Brokered by COMPASS,Co-op,579000,2,1,2184.207862,Jackson Heights,"34-41 85th St Unit 3OJackson Heights, NY 11372",New York,Queens County,Queens,40.7531191,-73.8818757
Brokered by PULLINI REALTY CORP.,Multi-family home,499000,3,3,2184.207862,Brooklyn,"921 E 84th StBrooklyn, NY 11236",United States,New York,Kings County,40.6370243,-73.909613
Brokered by Jason Mitchell Real Estate New York,Contingent,350000,3,2,1137.0,Staten Island,"145 Lincoln Ave Apt 3JStaten Island, NY 10306",New York,Richmond County,Staten Island,40.579062,-74.1076165
Brokered by COMPASS,House,1250000,3,2,2072.0,Staten Island,"89 Nixon AveStaten Island, NY 10304",United States,New York,Richmond County,40.6321382,-74.0806123
Brokered by Winzone Realty Inc,Multi-family home,899000,4,3,2184.207862,Corona,"104-40 Alstyne AveCorona, NY 11368",United States,New York,Queens County,40.7431111,-73.8574241
Brokered by COMPASS,Townhouse,1979000,5,2,3150.0,Brooklyn,"185 Weirfield StBrooklyn, NY 11221",United States,New York,Kings County,40.6908422,-73.9117096
Brokered by Momentum Real Estate Llc,House,599000,3,2,780.0,Staten Island,"459 Raritan AveStaten Island, NY 10305",United States,New York,Richmond County,40.5880538,-74.0858781
"Brokered by Tom Crimmins Realty, Ltd.",House,779000,4,2,2188.0,Staten Island,"122 Hamilton AveStaten Island, NY 10301",United States,New York,Richmond County,40.6445045,-74.0818972
Brokered by Corcoran East Side,Co-op,1195000,2,2,2184.207862,New York,"24 W 83rd St Apt 5RNew York, NY 10024",New York,New York County,New York,40.783637,-73.9719146
Brokered by COMPASS,Condo,1995000,2,3,1838.0,Manhattan,"298 E 2nd St Apt 4Manhattan, NY 10009",New York,New York County,New York,40.720539,-73.979335
Brokered by TOP NEST INC,Co-op,564900,1,1,769.0,Brooklyn,"215 Adams St Apt 10BBrooklyn, NY 11201",New York,Kings County,Brooklyn,40.697478,-73.988335
Brokered by Corcoran West Side,Multi-family home,1250000,6,4,2184.207862,Brooklyn,"85 Arlington AveBrooklyn, NY 11207",United States,New York,Kings County,40.6800398,-73.8914993
Brokered by Corcoran Chelsea/Flatiron,Condo,15000000,4,4,2184.207862,New York,"70 W 45th St Ph 2New York, NY 10036",New York,New York County,New York,40.7563378,-73.982217
Brokered by Tapestry Real Estate of Queens,Multi-family home,1399000,4,3,2283.0,Astoria,"31-53 45 StAstoria, NY 11103",United States,New York,Queens County,40.7580197,-73.9140215
"Brokered by Robert Defalco Realty, Inc.",House,1250000,4,2,3160.0,Staten Island,"1841 Richmond RdStaten Island, NY 10306",United States,New York,Richmond County,40.585661,-74.1059417
"Brokered by CORE Group Marketing, LLC",Co-op,335000,1,1,2184.207862,Queens,"33-15 81st St Unit 6BQueens, NY 11372",United States,New York,Queens County,40.7547282,-73.8859706
Brokered by Exp Realty,Multi-family home,685000,4,2,2000.0,Bronx,"884 E 161st StBronx, NY 10459",United States,New York,Bronx County,40.8194513,-73.9001792
Brokered by Boroughs Realty Llc,Co-op,279999,2,1,666.0,Brooklyn,"3235 Emmons Ave Apt 120Brooklyn, NY 11235",New York,Kings County,Brooklyn,40.5844399,-73.9316116
Brokered by Charles Rutenberg Realty Inc,Co-op,418000,2,1,2184.207862,Forest Hills,"94-11 69 Ave Unit 307Forest Hills, NY 11375",New York,Queens County,Queens,40.7155199,-73.8530199
Brokered by Century Homes Realty Group LLC,Multi-family home,1780000,10,7,2184.207862,Woodside,"41-59 70th StWoodside, NY 11377",United States,New York,Queens County,40.7429826,-73.8945462
Brokered by Keller Williams NYC,Condo,520000,2,1,741.0,New York,"105 Bennett Ave Unit 54BNew York, NY 10033",New York,New York County,New York,40.8536742,-73.9347275
Brokered by NextHome Prestige,House,599900,3,2,1248.0,Staten Island,"9 Lovell Ave Unit AStaten Island, NY 10314",United States,New York,Richmond County,40.5922258,-74.1508322
Brokered by Douglas Elliman - 3544 Johnson Ave,Multi-family home,885000,6,5,2680.0,Bronx,"933 Fteley AveBronx, NY 10473",United States,New York,Bronx County,40.8236783,-73.8705222
Brokered by CITI STAR REALTY,Co-op,258000,1,1,650.0,Brooklyn,"601 Brightwater Ct Apt 5LBrooklyn, NY 11235",New York,Kings County,Brooklyn,40.5759986,-73.960785
Brokered by Apple Realty Group Corp,Condo,700000,2,2,1124.0,Whitestone,"168-03 Powells Cove Blvd Unit 14Whitestone, NY 11357",New York,Queens County,Queens,40.7942255,-73.7950678
Brokered by Charles Rutenberg Realty Inc,House,999000,4,3,2184.207862,Glen Oaks,"78-27 268th StGlen Oaks, NY 11004",United States,New York,Queens County,40.7492036,-73.7045081
"Brokered by Plaza Island Properties, LLC",Contingent,898000,3,1,2744.0,Staten Island,"23 Bancroft AveStaten Island, NY 10306",United States,New York,Richmond County,40.5789553,-74.1138794
Brokered by COMPASS,Condo,500000,1,1,720.0,Manhattan,"232 E 118th St Apt 5BManhattan, NY 10035",New York,New York County,New York,40.7983883,-73.937888
Brokered by Corcoran Brooklyn Heights,House,695000,3,2,1926.0,Brooklyn,"696 Autumn AveBrooklyn, NY 11208",United States,New York,Kings County,40.6713641,-73.8673475
Brokered by Realty Quest New York Inc,Co-op,215000,3,1,2184.207862,Rego Park,"6115 97th St Apt LeRego Park, NY 11374",United States,New York,Queens County,40.7337965,-73.8620837
Brokered by Laffey Real Estate,House,759000,3,1,2184.207862,Middle Village,"71-31 66th RdMiddle Village, NY 11379",United States,New York,Queens County,40.7142473,-73.8830471
Brokered by Serhant,Co-op,375000,1,1,1185.0,Staten Island,"10 Bay Street Lndg Apt 1IStaten Island, NY 10301",New York,Richmond County,Staten Island,40.638118,-74.073964
Brokered by Corcoran Williamsburg Bedford,Pending,2100000,3,2,1902.0,Brooklyn,"76 Powers StBrooklyn, NY 11211",United States,New York,Kings County,40.7118832,-73.947991
Brokered by Exp Realty,Co-op,389888,1,1,730.0,Jackson Heights,"37-30 73rd St Unit 5DJackson Heights, NY 11372",United States,New York,Queens County,40.7479556,-73.8929488
Brokered by RE MAX Edge,Co-op,285000,1,1,900.0,Brooklyn,"2815 Ocean Pkwy Apt 3FBrooklyn, NY 11235",New York,Kings County,Brooklyn,40.5811062,-73.966749
Brokered by Brown Harris Stevens,Co-op,2795000,4,2,2184.207862,Manhattan,"801 W End Ave Apt 2AManhattan, NY 10025",New York,New York County,New York,40.7975649,-73.9720384
Brokered by Matias Real Estate,Condo,674999,3,1,1299.0,Staten Island,"90 Bay Street Lndg Apt 6KStaten Island, NY 10301",New York,Richmond County,Staten Island,40.6403656,-74.0737574
Brokered by Serhant,Townhouse,12995000,4,4,5608.0,New York,"129 E 70th StNew York, NY 10021",United States,New York,New York County,40.7694487,-73.9634625
Brokered by BERGEN BASIN REALTY,House,759000,3,2,1260.0,Brooklyn,"2044 E 67th StBrooklyn, NY 11234",United States,New York,Kings County,40.6184347,-73.9113421
Brokered by Brown Harris Stevens,Condo,995000,2,2,1030.0,Brooklyn,"575 4th Ave Apt 2ABrooklyn, NY 11215",New York,Kings County,Brooklyn,40.6655513,-73.9922171
Brokered by Adamo Real Estate,Co-op,229000,1,1,2184.207862,Brooklyn,"3025 Ocean Ave Apt 6HBrooklyn, NY 11235",New York,Kings County,Brooklyn,40.5874249,-73.9487987
"Brokered by Robert E. Hill, Inc.",Co-op,239000,1,1,800.0,Bronx,"3017 Riverdale Ave Apt 3CBronx, NY 10463",New York,Bronx County,The Bronx,40.880985,-73.9102329
Brokered by COMPASS,Co-op,315000,2,1,2184.207862,Manhattan,"5 E 131st St Apt 3AManhattan, NY 10037",New York,New York County,New York,40.8101633,-73.9387972
Brokered by Classic Homes and Properties,House,1100000,5,3,2192.0,Howard Beach,"85-11 164th AveHoward Beach, NY 11414",United States,New York,Queens County,40.6500222,-73.844778
Brokered by Halvatzis Realty Inc,Co-op,225000,1,1,2184.207862,Astoria,"21-68 35th St Unit 5DAstoria, NY 11105",New York,Queens County,Queens,40.7753572,-73.9085482
Brokered by Jadestone Development Realty Llc,House,868000,3,2,1484.0,Staten Island,"212 Hunter AveStaten Island, NY 10306",United States,New York,Richmond County,40.5802397,-74.1018122
Brokered by Century Homes Realty Group LLC,Multi-family home,1380000,5,3,2184.207862,East Elmhurst,"31-32 100th StEast Elmhurst, NY 11369",United States,New York,Queens County,40.7600366,-73.8692081
Brokered by New Home Connections Inc.,House,1100000,4,2,1800.0,Staten Island,"7372 Amboy RdStaten Island, NY 10307",United States,New York,Richmond County,40.5103369,-74.2424867
Brokered by COMPASS,Co-op,865000,1,1,2184.207862,Manhattan,"407 Park Ave S Apt 11DManhattan, NY 10016",New York,New York County,New York,40.743373,-73.983626
Brokered by COMPASS,Pending,1895000,3,2,1230.0,Brooklyn,"47 Bridge St Apt 3CBrooklyn, NY 11201",New York,Kings County,Brooklyn,40.7032131,-73.9845345
Brokered by Berns Agency,House,749000,3,2,1800.0,Staten Island,"93 Gower StStaten Island, NY 10314",United States,New York,Richmond County,40.6105648,-74.1237991
Brokered by RE MAX Distinguished Homes & Properties,Multi-family home,775000,5,2,1600.0,Bronx,"2951 Harding AveBronx, NY 10465",United States,New York,Bronx County,40.8166622,-73.8139448
Brokered by Corcoran West Side,Co-op,2395000,2,2,1650.0,New York,"320 E 57th St # ENew York, NY 10022",United States,New York,New York County,40.7588081,-73.9647057
Brokered by RE MAX Real Estate Professionals,Multi-family home,2300000,8,6,4000.0,Brooklyn,"123 Bay 10th StBrooklyn, NY 11228",United States,New York,Kings County,40.608367,-74.0112145
Brokered by Keller Williams NYC,Condo,700000,1,2,900.0,New York,"138 Edgecombe Avenue Gdn Unit 1ANew York, NY 10030",New York,New York County,New York,40.8211582,-73.9445475
Brokered by Corcoran Park Slope,Condo,450000,3,1,494.0,Brooklyn,"4907 4th Ave Apt 3CBrooklyn, NY 11220",New York,Kings County,Brooklyn,40.646643,-74.011966
Brokered by COMPASS,Co-op,280000,3,1,2184.207862,Manhattan,"431 E 82nd St Apt 1AManhattan, NY 10028",New York,New York County,New York,40.7737792,-73.9495867
Brokered by Serhant,Condo,3890000,3,4,2446.0,New York,"219 E 44th St Unit 31New York, NY 10017",New York,New York County,New York,40.7518502,-73.9725168
