TYPE,PRICE,BEDS,BATH,PROPERTYSQFT,STATE,MAIN_ADDRESS,ADMINISTRATIVE_AREA_LEVEL_2,SUBLOCALITY,LATITUDE,LONGITUDE,AREA_PER_ROOM,BATH_PER_BED,TOTAL_ROOMS,SQFT_PER_BED,BATH_ROOM_DIFF,SIZE_CATEGORY
Co-op,12.896719202134523,2,1,2184.207862,Other,"34-10 94th St Unit 2DJackson Heights, NY 11372",New York,Queens,40.7544847,-73.8740993,546.0519655,0.3333333333333333,3,728.0692873333334,-1,Large
House,13.440091026807503,2,1,2184.207862,Bronx,"57 Shore DrBronx, NY 10465",United States,Bronx County,40.8214203,-73.8062717,546.0519655,0.3333333333333333,3,728.0692873333334,-1,Large
Townhouse,13.28448392755959,2,2,2000.0,Staten Island,"19 Teri CtStaten Island, NY 10314",United States,Richmond County,40.5904561,-74.1521059,400.0,0.6666666666666666,4,666.6666666666666,0,Medium
Multi-family home,13.623139877437296,5,3,2184.207862,Bronx,"1221 Manor AveBronx, NY 10472",United States,Bronx County,40.8296973,-73.8768124,242.68976244444445,0.5,8,364.0346436666667,-2,Large
Condo,12.560247968016562,2,1,835.0,Bronx,"1527 Metropolitan Ave Apt 4GBronx, NY 10462",New York,The Bronx,40.8396194,-73.8587548,208.75,0.3333333333333333,3,278.3333333333333,-1,Small
Condo,13.296318365198623,3,1,915.0,Brooklyn,"609 Myrtle Ave Unit CF1Brooklyn, NY 11205",New York,Brooklyn,40.6944083,-73.9595899,183.0,0.25,4,228.75,-2,Small
Condo,13.70903942580019,2,2,1697.0,Staten Island,"90 Bay Street Lndg Apt 5IStaten Island, NY 10301",New York,Staten Island,40.6403656,-74.0737574,339.4,0.6666666666666666,4,565.6666666666666,0,Medium
Townhouse,14.912455123421447,5,2,4900.0,New York,"234 W 138th StNew York, NY 10030",United States,New York County,40.8178071,-73.9440991,612.5,0.3333333333333333,7,816.6666666666666,-3,Large
House,13.981025843899115,4,3,2184.207862,Other,"73-27 193rd StFresh Meadows, NY 11366",United States,Queens County,40.7335974,-73.7788656,273.02598275,0.6,7,436.8415724,-1,Large
Contingent,13.592243248992402,4,4,1816.0,Staten Island,"71 Dewey AveStaten Island, NY 10308",United States,Richmond County,40.5570416,-74.1462231,201.77777777777777,0.8,8,363.2,0,Medium
Co-op,11.775297421715827,1,1,2184.207862,Bronx,"5 Fordham Hill Oval Apt 11HBronx, NY 10468",New York,The Bronx,40.8653458,-73.9073691,728.0692873333334,0.5,2,1092.103931,0,Large
House,13.652991628466498,3,2,2184.207862,Flushing,"147-20 76th RdFlushing, NY 11367",United States,Queens County,40.7226341,-73.8165656,364.0346436666667,0.5,5,546.0519655,-1,Large
Co-op,12.128116509451258,1,1,850.0,Bronx,"3123 Bailey Ave Unit ABronx, NY 10463",United States,Bronx County,40.8789917,-73.9020914,283.3333333333333,0.5,2,425.0,0,Small
House,14.058457520888082,4,2,2184.207862,Other,"87-66 257th StFloral Park, NY 11001",United States,Queens County,40.7289806,-73.7083891,312.0296945714286,0.4,6,436.8415724,-2,Large
Multi-family home,14.844415791605641,5,3,3400.0,Brooklyn,"1603 11th AveBrooklyn, NY 11215",United States,Kings County,40.657854,-73.975525,377.77777777777777,0.5,8,566.6666666666666,-2,Large
Co-op,12.791080452981857,2,1,950.0,Flushing,"141-09 28 Ave Unit 1DFlushing, NY 11354",New York,Queens,40.7733297,-73.8274665,237.5,0.3333333333333333,3,316.6666666666667,-1,Small
Pending,12.983103608918753,1,1,2184.207862,Brooklyn,"155 Hicks St Unit 5ABrooklyn, NY 11201",New York,Brooklyn,40.6969047,-73.9948252,728.0692873333334,0.5,2,1092.103931,0,Large
House,13.803438988875241,3,1,1296.0,Flushing,"43-64 Bowne StFlushing, NY 11355",United States,Queens County,40.7540089,-73.8189203,259.2,0.25,4,324.0,-2,Medium
Co-op,13.592368256649284,1,1,2184.207862,Manhattan,"324 E 41st St Unit 1101CManhattan, NY 10017",New York,New York,40.7486602,-73.9720523,728.0692873333334,0.5,2,1092.103931,0,Large
Co-op,12.899222326086994,2,1,2184.207862,Other,"34-49 81st St Unit 5YJackson Heights, NY 11372",New York,Queens,40.7536299,-73.88596,546.0519655,0.3333333333333333,3,728.0692873333334,-1,Large
Multi-family home,13.779884416590017,5,3,3520.0,Bronx,"1027 Ward AveBronx, NY 10472",United States,Bronx County,40.8247021,-73.8766066,391.1111111111111,0.5,8,586.6666666666666,-2,Large
